year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,candidatevotes,Result,Strategy 1,strategy 2,strategy 3,strategy 4,strategy 5,People_ survey (%)
2000,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,561094,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,42%
2000,CONNECTICUT,CT,9,16,1,US PRESIDENT,"NADER, RALPH",GREEN,64452,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,26%
2000,CONNECTICUT,CT,9,16,1,US PRESIDENT,"PHILLIPS, HOWARD",CONCERNED CITIZENS,9695,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,38%
2000,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,4731,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,39%
2000,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,3484,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,30%
2000,CONNECTICUT,CT,9,16,1,US PRESIDENT,,,54,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,20%
2000,DELAWARE,DE,10,51,11,US PRESIDENT,"GORE, AL",DEMOCRAT,180068,win,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,8%
2000,DELAWARE,DE,10,51,11,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,137288,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,32%
2000,DELAWARE,DE,10,51,11,US PRESIDENT,"NADER, RALPH",GREEN,8307,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,22%
2000,DELAWARE,DE,10,51,11,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,777,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,38%
2000,DELAWARE,DE,10,51,11,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,774,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,27%
2000,DELAWARE,DE,10,51,11,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,208,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,37%
2000,DELAWARE,DE,10,51,11,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,107,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,17%
2000,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"GORE, AL",DEMOCRAT,171923,win,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,19%
2000,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,18073,loss,education empowerment,decrease of tax,increasing the investments from fereign MNC's,transportation,services in rural areas,77%
2000,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"NADER, RALPH",GREEN,10576,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,4%
2000,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,669,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,41%
2000,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,539,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,42%
2000,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,114,loss,improving infrastructure in harbour ports,tourism development,decrease of petrol,hi-tech highways,improvising USn economy to 5 trillion dollars,92%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,2912790,win,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,15%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"GORE, AL",DEMOCRAT,2912253,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,18%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"NADER, RALPH",GREEN,97488,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,20%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,17484,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,29%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,16415,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,26%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,2281,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,36%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"MOOREHEAD, MONICA",WORKERS WORLD,1804,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,34%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,1371,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,35%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"MCREYNOLDS, DAVID",SOCIALIST,622,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,17%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,562,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,13%
2000,FLORIDA,FL,12,59,43,US PRESIDENT,,,40,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,12%
2000,GEORGIA,GA,13,58,44,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1419720,win,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,19%
2000,GEORGIA,GA,13,58,44,US PRESIDENT,"GORE, AL",DEMOCRAT,1116230,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,10%
2000,GEORGIA,GA,13,58,44,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,36332,loss,increasing the public toilets ,cancel of educatio loan,eradication of racisim,loan waiver to hotels ,gas pipeline plan,88%
2000,GEORGIA,GA,13,58,44,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",INDEPENDENT,10926,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,20%
2000,HAWAII,HI,15,95,82,US PRESIDENT,"GORE, AL",DEMOCRAT,205286,win,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,38%
2000,HAWAII,HI,15,95,82,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,137845,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,25%
2000,HAWAII,HI,15,95,82,US PRESIDENT,"NADER, RALPH",GREEN,21623,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,21%
2000,HAWAII,HI,15,95,82,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,1477,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,32%
2000,HAWAII,HI,15,95,82,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,1071,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,18%
2000,HAWAII,HI,15,95,82,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,343,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,38%
2000,HAWAII,HI,15,95,82,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,306,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,22%
2000,IDAHO,ID,16,82,63,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,336937,win,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,29%
2000,IDAHO,ID,16,82,63,US PRESIDENT,"GORE, AL",DEMOCRAT,138637,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,35%
2000,IDAHO,ID,16,82,63,US PRESIDENT,"NADER, RALPH",GREEN,12292,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,31%
2000,IDAHO,ID,16,82,63,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,7615,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,29%
2000,IDAHO,ID,16,82,63,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,3488,loss,repayment omission for gold loan,transporation services in rural areas,imroving infrastructure in harbour ports,buliding concrete houses for people living in huts,40% govt job to ladies,95%
2000,IDAHO,ID,16,82,63,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,1469,loss,increase in maternity leave period ,increase in maternity leave period ,increase in maternity leave period ,increase in maternity leave period ,increase in maternity leave period ,18%
2000,IDAHO,ID,16,82,63,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,1177,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,32%
2000,ILLINOIS,IL,17,33,21,US PRESIDENT,"GORE, AL",DEMOCRAT,2589026,win,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,12%
2000,ILLINOIS,IL,17,33,21,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,2019421,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,34%
2000,ILLINOIS,IL,17,33,21,US PRESIDENT,"NADER, RALPH",GREEN,103759,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,24%
2000,ILLINOIS,IL,17,33,21,US PRESIDENT,,INDEPENDENT,16106,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,15%
2000,ILLINOIS,IL,17,33,21,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,11623,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,18%
2000,ILLINOIS,IL,17,33,21,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,2127,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,25%
2000,ILLINOIS,IL,17,33,21,US PRESIDENT,,,46,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,37%
2000,USNA,IN,18,32,22,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1245836,win,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,34%
2000,USNA,IN,18,32,22,US PRESIDENT,"GORE, AL",DEMOCRAT,901980,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,14%
2000,USNA,IN,18,32,22,US PRESIDENT,,,18997,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,19%
2000,USNA,IN,18,32,22,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",INDEPENDENT,16959,loss,decrease of tax,job to youth ,education empowerment,gas pipeline,hi-tech highways,80%
2000,USNA,IN,18,32,22,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,15530,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,25%
2000,IOWA,IA,19,42,31,US PRESIDENT,"GORE, AL",DEMOCRAT,638517,win,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,22%
2000,IOWA,IA,19,42,31,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,634373,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,34%
2000,IOWA,IA,19,42,31,US PRESIDENT,,INDEPENDENT,37459,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,35%
2000,IOWA,IA,19,42,31,US PRESIDENT,"NADER, RALPH",GREEN,29374,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,21%
2000,IOWA,IA,19,42,31,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,5731,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,39%
2000,IOWA,IA,19,42,31,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,3209,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,27%
2000,IOWA,IA,19,42,31,US PRESIDENT,"HAGELIN, JOHN",NOMINATED BY PETITION,2281,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,11%
2000,IOWA,IA,19,42,31,US PRESIDENT,SCATTERING,,1168,loss,monthly rs.1500 for household womens,repayment omission for agriculture loan,gas pipeline,hi-tech highways,transporation service in rural areas,31%
2000,IOWA,IA,19,42,31,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,613,loss,increasing the public toilets ,introducing metro trains in 2nd level cities,free bicyle,loan waiver to hotels ,decrease of tax,40%
2000,IOWA,IA,19,42,31,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,190,loss,decrease of petrol,free education,free washing machine,eradication of racisim,repayment omission for gold loan,12%
2000,IOWA,IA,19,42,31,US PRESIDENT,"MCREYNOLDS, DAVID",SOCIALIST,107,loss,increasing the public toilets ,introducing metro trains in 2nd level cities,improvising USn economy to 5 trillion dollars,cancel of education loan,building concrete houses for people living in huts,83%
2000,KANSAS,KS,20,47,32,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,622332,win,free laptop,free bicycle,free hospitilization,free education,job to youth,29%
2000,KANSAS,KS,20,47,32,US PRESIDENT,"GORE, AL",DEMOCRAT,399276,loss,distribution of solar power cooking stoves,govt jobs to families without anyone in state service,increase in maternity leave period ,same ration card for all the states,2gb data free for students,35%
2000,KANSAS,KS,20,47,32,US PRESIDENT,,INDEPENDENT,37459,loss,gas pipline plan ,cancel of educatio loan,clean US,free bicyle,improvising USn economy to 5 trillion dollars,32%
2000,KANSAS,KS,20,47,32,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,7370,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,13%
2000,KANSAS,KS,20,47,32,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,4525,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,27%
2000,KANSAS,KS,20,47,32,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,1254,loss,job to youth 40%,loan waiver to hotels,eradication of racisim,gas pipeline,cancel of education loan,87%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"GORE, AL",DEMOCRAT,1616487,win,transportation services in rural areas,improving infrastructure in harbour ports,buliding concrete houses for people living in huts,job to  youth,repayment omission for agriculture loan,89%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,878502,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,16%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"NADER, RALPH",GREEN,173564,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,17%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,BLANK VOTE/SCATTERING,,31022,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,10%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,16366,loss,education empowerment,job to youth ,clean US,gas pipeline,cancel of education loan,34%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,11149,loss,hi-tech highways,transporation services in rural areas,free laptop ,free hospitalization,eradication of racisim,18%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,OTHER,,3990,loss,40% govt job to ladies,decrease of petrol ,free bicycle,2gb data for students,improving infrastructure in harbour ports,9%
2000,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"HAGELIN, JOHN",UNENROLLED,2884,win,increasing investments for from foreign MNC's,repayment omission for agriculture loan,free education,loan waiver to hotels ,job to youth,75%
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,"GORE, AL",DEMOCRAT,2170418,win,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,27%
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1953139,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,18%
2000,MICHIGAN,MI,26,34,23,US PRESIDENT,"NADER, RALPH",GREEN,84165,loss,free hospitalization,40% govt jobs to ladies,women would get 50% fare cut in town buses,increasing the public toilets facility,cancel of education loan,87%
